English	de	fr
Configuring auto-upgrade	Automatischen Ausbau konfigurieren	Configuration de l’amélioration automatique
Checking settings…	Einstellungen werden geprüft…	Vérification des paramètres…
Stopped: check the city	Angehalten: Stadt prüfen	Arrêté : vérifiez la ville
Checking cities…	Städte werden geprüft…	Vérification des villes…
Priority: needed resource income → gold → development. Markets may cross targets when all four incomes exceed their targets before ordering. Manual and automatic queued work is counted.	Priorität: benötigtes Ressourceneinkommen → Gold → Ausbau. Märkte dürfen Zielwerte unterschreiten, wenn vor dem Auftrag alle vier Einkommen über ihren Zielwerten liegen. Manuelle und automatische Aufträge in der Warteschlange werden berücksichtigt.	Priorité : revenus de ressources nécessaires → or → développement. Les marchés peuvent faire passer les revenus sous les seuils si les quatre revenus les dépassent avant l’ordre. Les travaux manuels et automatiques en attente sont pris en compte.
Outstanding construction effects could not be read reliably. New orders are temporarily paused to protect resource targets.	Die Auswirkungen laufender Bauaufträge konnten nicht zuverlässig ermittelt werden. Neue Aufträge sind zum Schutz der Ressourcenzielwerte vorübergehend angehalten.	Les effets des travaux en cours n’ont pas pu être déterminés de façon fiable. Les nouveaux ordres sont temporairement suspendus pour préserver les seuils de ressources.
No order currently meets the resource targets and selected branch rules. When all targets are exceeded and no useful income improvements remain, a random eligible building continues development.	Derzeit erfüllt kein Auftrag die Ressourcenzielwerte und die gewählten Pfadregeln. Wenn alle Zielwerte überschritten werden und keine nützlichen Einkommensverbesserungen mehr verfügbar sind, wird der Ausbau mit einem zufälligen zulässigen Gebäude fortgesetzt.	Aucun ordre ne respecte actuellement les seuils de ressources et les règles des voies choisies. Si tous les seuils sont dépassés et qu’il ne reste aucune amélioration de revenu utile, le développement continue avec un bâtiment autorisé choisi au hasard.
Cost:	Kosten:	Coût :
· Reserve:	· Reserve:	· Réserve :
Gold	Gold	Or
Stone	Stein	Pierre
Wood	Holz	Bois
Iron	Eisen	Fer
Mana	Mana	Mana
Resource income is unchanged.	Das Ressourceneinkommen bleibt unverändert.	Les revenus de ressources restent inchangés.
