# English|German|French. Reviewed against the English source and Russian corrections.
Alchemy Hall|Alchemiehalle|Salle d'alchimie
Undead Ceyah|Ceyah-Untote|Morts-vivants ceyah
Wraith Dreadfire Blast|Schreckensfeuerstoß des Geistes|Déflagration de feu effroyable du spectre
add bleeding wounds to archers ranged attack|Fügt den Fernangriffen der Bogenschützen blutende Wunden hinzu.|Ajoute des blessures hémorragiques aux attaques à distance des archers.
Advance|Rechtschaffener Vormarsch|Avancée vertueuse
Agony|Qual|Agonie
Apparation unit is now recruitable from Good side settlements|Die Erscheinung kann nun in Siedlungen der guten Seite rekrutiert werden.|L'apparition peut désormais être recrutée dans les colonies du camp du Bien.
Arcane Powers|Arkane Mächte|Pouvoirs arcaniques
Bashkar Human|Bashkar der Menschen|Bashkar humain
Bashkar Undead|Untoter Bashkar|Bashkar mort-vivant
Bleeding Wounds|Blutende Wunden|Blessures hémorragiques
Blessing of Midas|Segen des Midas|Bénédiction de Midas
Bloodseeker|Blutsucher|Traqueur de sang
Bog|Sumpf|Marécage
Bone Chill|Knochenkälte|Froid jusqu'aux os
Bonechill|Knochenkälte|Froid jusqu'aux os
Bright Fire|Helles Feuer|Flamme éclatante
Building Autoupgrade|Automatische Gebäudeverbesserung|Amélioration automatique des bâtiments
Burning Flare|Brennender Blitz|Éclat brûlant
Composite Armor|Verbundrüstung|Armure composite
Crimson Scorch|Purpurbrand|Brûlure cramoisie
Crimson Shards|Purpursplitter|Éclats cramoisis
Dark Burn|Dunkler Brand|Brûlure obscure
Dark Plague|Dunkle Seuche|Peste obscure
Day|Tag|Jour
Detection Penalty|Entdeckungsmalus|Pénalité de détection
Dragoon Border Guard|Dragoner-Grenzwache|Garde-frontière dragon
Drain|Entkräftung|Affaiblissement
Draining Weapons|Entkräftende Waffen|Armes d'affaiblissement
Empowering Ichor|Stärkender Ichor|Ichor fortifiant
Escort Unit|Eskorteinheit|Unité d'escorte
Evil Side|Böse Seite|Camp du Mal
Field Catapult elite siege unit is now recruitable for Good side|Die Elite-Belagerungseinheit Feldkatapult kann nun von der guten Seite rekrutiert werden.|L'unité de siège d'élite Catapulte de campagne peut désormais être recrutée par le camp du Bien.
Flame Curse|Flammenfluch|Malédiction des flammes
Flock Ducks Huge|Großer Entenschwarm|Grande volée de canards
Flock Ducks Small|Kleiner Entenschwarm|Petite volée de canards
Flock Eagle single|Einzelner Adler|Aigle solitaire
Flock Eagle Small|Kleiner Adlerschwarm|Petite volée d'aigles
Flock Ikaris Bird Single|Einzelner Ikaris-Vogel|Oiseau ikaris solitaire
Flock Ikaris Birds Huge|Großer Ikaris-Vogelschwarm|Grande volée d'oiseaux ikaris
Flock Ikaris Birds Small|Kleiner Ikaris-Vogelschwarm|Petite volée d'oiseaux ikaris
Flock Raven single|Einzelner Rabe|Corbeau solitaire
Flock Ravens Huge|Großer Rabenschwarm|Grande volée de corbeaux
Flock Ravens Small|Kleiner Rabenschwarm|Petite volée de corbeaux
Flock Snowowl Single|Einzelne Schneeeule|Harfang des neiges solitaire
Flock Snowowls Small|Kleiner Schneeeulenschwarm|Petite volée de harfangs des neiges
Flock Spineling Single|Einzelner Stachelflügler|Ailé épineux solitaire
Flock Spinelings Small|Kleiner Stachelflüglerschwarm|Petite volée d'ailés épineux
Flock Vulture Single|Einzelner Geier|Vautour solitaire
Flock Vultures Small|Kleiner Geierschwarm|Petite volée de vautours
Flyer|Fliegend|Volant
Foul Body|Verwesender Körper|Corps putride
Foul Soul|Verdorbene Seele|Âme corrompue
Frost Burns|Frostbrand|Brûlures de gel
Garden Tree|Gartenbaum|Arbre de jardin
Gitadel Tree|Zitadellenbaum|Arbre de citadelle
Glacial Prison|Eisgefängnis|Prison de glace
Glacial Scorch|Eisbrand|Brûlure glaciale
Glacier|Gletscher|Glacier
Good Side|Gute Seite|Camp du Bien
Grasping Wines|Umschlingende Ranken|Lianes agrippantes
Guard Tree|Wachbaum|Arbre de garde
Guardian Flames|Wächterflammen|Flammes gardiennes
Guardians of Rightfull Will|Wächter des rechtschaffenen Willens|Gardiens de la volonté vertueuse
Hardened Scales|Gehärtete Schuppen|Écailles renforcées
Harming Meadow|Verderbliche Wiese|Prairie funeste
Heart stroke|Herzschlag|Battement de cœur
Hide/unhide arcane powers menu.|Menü der arkanen Mächte ein-/ausblenden.|Afficher/masquer le menu des pouvoirs arcaniques.
Holy|Heilig|Sacré
Ice Guard|Eisschutz|Protection de glace
Ice prison|Eisgefängnis|Prison de glace
Immobile|Unbeweglich|Immobile
Keep Tree|Festungsbaum|Arbre de donjon
Kingdom of Dead|Reich der Toten|Royaume des morts
Lancer Border Guard|Lanzenreiter-Grenzwache|Garde-frontière lancier
Land of Drauga|Land der Drauga|Terre des Drauga
Land of Mareten|Land von Mareten|Terre de Mareten
Large Unit|Große Einheit|Grande unité
Lightweight armor with enhanced mobility|Leichte Rüstung mit erhöhter Beweglichkeit.|Armure légère offrant une mobilité accrue.
Livingwood growth|Wachstum des lebenden Holzes|Croissance du bois vivant
Long Weapon|Lange Waffe|Arme longue
Magic Meadow|Magische Wiese|Prairie magique
Magicians|Zauberer|Magiciens
Marauder Youngbloods|Junge Marodeure|Jeunes maraudeurs
Mark of Summoned|Mal der Beschworenen|Marque des invoqués
Medium Unit|Mittelgroße Einheit|Unité moyenne
Militia Support|Milizunterstützung|Soutien de milice
Oracle Sight|Orakelblick|Vision de l'oracle
Painful Confusion|Schmerzhafte Verwirrung|Confusion douloureuse
Plains of Haroun|Ebenen der Haroun|Plaines des Haroun
Planar Burns|Planare Verbrennungen|Brûlures planaires
Planar Flames|Planare Flammen|Flammes planaires
Planar Summon|Planare Beschwörung|Invocation planaire
Race Rhaksha|Volk der Rhaksha|Peuple rhaksha
Range Balancement|Reichweitenabgleich|Équilibrage de portée
Ranged Siege Captain|Belagerungsfernkampf-Hauptmann|Capitaine de siège à distance
Ravenous Ichor|Gieriger Ichor|Ichor vorace
Reinforced|Verstärkt|Renforcé
Riders of Endtime|Reiter der Endzeit|Cavaliers de la fin des temps
Royalist Finest|Elite der Royalisten|Élite royaliste
Searing Aura|Sengende Aura|Aura brûlante
Searing Flare|Sengender Blitz|Éclat ardent
Searing Guard|Sengender Schutz|Protection ardente
Searing Planar Flames|Sengende planare Flammen|Flammes planaires ardentes
Shadow Knight Human|Schattenritter der Menschen|Chevalier de l'ombre humain
Shadow Knight Undead|Untoter Schattenritter|Chevalier de l'ombre mort-vivant
Shadow Realm|Schattenreich|Royaume des ombres
Shadow Scorch|Schattenbrand|Brûlure des ombres
Shadow Scorch Base|Schattenbrand — Basis|Brûlure des ombres — base
Siege Captain|Belagerungshauptmann|Capitaine de siège
Siege|Belagerung|Siège
Siege Horde Captain|Hauptmann der Belagerungshorde|Capitaine de horde de siège
Slaan Undead|Untoter Slaan|Slaan mort-vivant
Slayer Human|Schlächter der Menschen|Tueur humain
Slayer Undead|Untoter Schlächter|Tueur mort-vivant
Small Unit|Kleine Einheit|Petite unité
Soul bleed|Seelenblutung|Hémorragie de l'âme
Soul Feast|Seelenmahl|Festin des âmes
Soulless Hollow|Seelenlose Leere|Vide sans âme
Sovereign Settlers Drauga|Drauga-Siedler des Herrschers|Colons drauga du souverain
Sovereign Settlers Gauri|Gauri-Siedler des Herrschers|Colons gauri du souverain
Sovereign Settlers Haroun|Haroun-Siedler des Herrschers|Colons haroun du souverain
Sovereign Settlers Human|Menschliche Siedler des Herrschers|Colons humains du souverain
Sovereign Settlers Shadow|Schattensiedler des Herrschers|Colons des ombres du souverain
Sovereign Settlers Undead|Untote Siedler des Herrschers|Colons morts-vivants du souverain
Spirit Armor|Geisterrüstung|Armure spirituelle
Spirit Flames|Geisterflammen|Flammes spirituelles
Spirit Tree Wall Tree|Mauerbaum des Geisterbaums|Arbre du mur de l'Arbre des esprits
Spirits|Geister|Esprits
Stasis|Stasis|Stase
Statues of Council|Statuen des Rates|Statues du Conseil
Temperate Mountain|Berg der gemäßigten Zone|Montagne tempérée
Temptress Statue|Statue der Verführerin|Statue de la tentatrice
The Combat engineer nation variant is now recruitable from settlements|Die Volksvariante des Kampfingenieurs kann nun in Siedlungen rekrutiert werden.|La variante nationale de l'ingénieur de combat peut désormais être recrutée dans les colonies.
The Empyrean elite siege unit is now recruitable for Good side|Die Elite-Belagerungseinheit Empyreer kann nun von der guten Seite rekrutiert werden.|L'unité de siège d'élite Empyréen peut désormais être recrutée par le camp du Bien.
The Infernal unit is now recruitable from Evil side settlements|Der Infernale kann nun in Siedlungen der bösen Seite rekrutiert werden.|L'Infernal peut désormais être recruté dans les colonies du camp du Mal.
The Planar spirit support unit is now recruitable for Good side|Die Unterstützungseinheit Planargeist kann nun von der guten Seite rekrutiert werden.|L'unité de soutien Esprit planaire peut désormais être recrutée par le camp du Bien.
The Specter support unit is now recruitable from Evil side settlements|Die Unterstützungseinheit Gespenst kann nun in Siedlungen der bösen Seite rekrutiert werden.|L'unité de soutien Spectre peut désormais être recrutée dans les colonies du camp du Mal.
Thermal Shock|Thermoschock|Choc thermique
Thorned Arrows|Dornenpfeile|Flèches épineuses
Topor|Axt|Hache
Unholy|Unheilig|Impie
Unsummon Command|Beschwörung aufheben|Révoquer l'invocation
War Behemoth Herd|Kriegsbehemoth-Herde|Troupeau de béhémoths de guerre
Wyvern Acid|Wyvernsäure|Acide de wyverne
Wyvern Acidic|Wyvernsäure|Acide de wyverne
Beast Trainer Death|Tod des Tierbändigers|Mort du dresseur de bêtes
Reduced Heal Rate|Verringerte Heilungsrate|Vitesse de guérison réduite
Diseased Strikes|Krankheitsbringende Hiebe|Frappes pathogènes
Infecting Strikes|Ansteckende Hiebe|Frappes infectieuses
beast trainer|Tierbändiger|Dresseur de bêtes
Beast Trainer Captain Unit|Tierbändiger-Hauptmann|Capitaine dresseur de bêtes
elementalist|Elementarmagier|Élémentaliste
Elemantalist Capain Unit|Elementarmagier-Hauptmann|Capitaine élémentaliste
savage|Wilder|Sauvage
mechanic|Mechaniker|Mécanicien
Observer|Beobachter|Observateur
treeman|Baummensch|Homme-arbre
Catapult Fire|Katapultschuss|Tir de catapulte
Operator|Bediener|Opérateur
Imp|Wicht|Diablotin
Apparition's Cloak|Schleier der Erscheinung|Voile de l'apparition
Apparition|Erscheinung|Apparition
Melee Attack|Nahkampfangriff|Attaque au corps à corps
Captain|Hauptmann|Capitaine
Sandstorm|Sandsturm|Tempête de sable
Auto-Save|Automatisches Speichern|Sauvegarde automatique
Auto-Save (single-player)|Automatisches Speichern (Einzelspieler)|Sauvegarde automatique (solo)
Auto-save interval (min)|Speicherintervall (Min.)|Intervalle de sauvegarde (min)
Frame rate limit|Bildratenlimit|Limite d'images par seconde
Display mode|Anzeigemodus|Mode d'affichage
Color minimap by kingdom|Minikarte nach Königreich einfärben|Colorer la mini-carte par royaume
Minimap|Minikarte|Mini-carte
City Auto-Upgrade|Automatischer Stadtausbau|Amélioration automatique des villes
Open militia in newly acquired cities|Miliz in neuen Städten öffnen|Ouvrir la milice des nouvelles villes
Open militia in the starting city of a new match, as well as newly built and captured cities. Loading an ongoing match preserves existing cities' militia states. This preference is saved between games.|Öffnet die Miliz der Startstadt einer neuen Partie sowie neu errichteter und eroberter Städte. Beim Laden einer laufenden Partie bleibt der Milizstatus bestehender Städte erhalten. Diese Einstellung wird zwischen Partien gespeichert.|Ouvre la milice de la ville de départ d'une nouvelle partie ainsi que celle des villes nouvellement construites ou capturées. Charger une partie en cours conserve l'état de la milice des villes existantes. Ce réglage est conservé entre les parties.
Gold Reserve|Goldreserve|Réserve d'or
Automatically improve cities without spending the gold reserve.|Baut Städte automatisch aus, ohne die Goldreserve anzutasten.|Améliore automatiquement les villes sans dépenser la réserve d'or.
Enter to apply. Esc or click outside to cancel.|Eingabetaste zum Übernehmen. Esc oder außerhalb klicken zum Abbrechen.|Entrée pour appliquer. Échap ou clic à l'extérieur pour annuler.
City auto-upgrade status|Status des automatischen Stadtausbaus|État de l'amélioration automatique des villes
Checking cities…|Städte werden geprüft…|Vérification des villes…
Settings|Einstellungen|Paramètres
Configure upgrade paths and city exceptions.|Ausbaupfade und Ausnahmen für einzelne Städte festlegen.|Configurer les voies d'amélioration et les exceptions par ville.
Stone income target (not stockpile). Enter to apply. Esc or click outside to cancel.|Ziel für das Steineinkommen (nicht den Vorrat). Eingabetaste zum Übernehmen. Esc oder außerhalb klicken zum Abbrechen.|Objectif de revenu en pierre (et non de stock). Entrée pour appliquer. Échap ou clic à l'extérieur pour annuler.
Wood income target (not stockpile). Enter to apply. Esc or click outside to cancel.|Ziel für das Holzeinkommen (nicht den Vorrat). Eingabetaste zum Übernehmen. Esc oder außerhalb klicken zum Abbrechen.|Objectif de revenu en bois (et non de stock). Entrée pour appliquer. Échap ou clic à l'extérieur pour annuler.
Iron income target (not stockpile). Enter to apply. Esc or click outside to cancel.|Ziel für das Eiseneinkommen (nicht den Vorrat). Eingabetaste zum Übernehmen. Esc oder außerhalb klicken zum Abbrechen.|Objectif de revenu en fer (et non de stock). Entrée pour appliquer. Échap ou clic à l'extérieur pour annuler.
Mana income target (not stockpile). Enter to apply. Esc or click outside to cancel.|Ziel für das Manaeinkommen (nicht den Vorrat). Eingabetaste zum Übernehmen. Esc oder außerhalb klicken zum Abbrechen.|Objectif de revenu en mana (et non de stock). Entrée pour appliquer. Échap ou clic à l'extérieur pour annuler.
Necropolis|Nekropole|Nécropole
Obelisk|Obelisk|Obélisque
Sanctuary|Heiligtum|Sanctuaire
Stronghold|Hochburg|Bastion
Z'ha'dum Fortress|Festung von Z'ha'dum|Forteresse de Z'ha'dum
Summons Insect Swarm when dies.|Beschwört beim Tod einen Insektenschwarm.|Invoque une nuée d'insectes à sa mort.
Banish spirit from enemy units in area damaging and weakening them for period of time, cause extra damage to unholy targets. Cost: 700 khaldunite shards|Bannt die Geister feindlicher Einheiten im Zielgebiet, fügt ihnen Schaden zu und schwächt sie vorübergehend. Unheilige Ziele erleiden zusätzlichen Schaden. Kosten: 700 Khaldunitsplitter|Bannit l'esprit des unités ennemies dans la zone, leur inflige des dégâts et les affaiblit temporairement. Les cibles impies subissent des dégâts supplémentaires. Coût : 700 éclats de khaldunite
Create cloud of fear causing enemy units in area to loose morale and reduce their attack rate. Cost: 500 khaldunite shards|Erzeugt eine Wolke der Furcht: Feindliche Einheiten im Gebiet verlieren Moral und greifen langsamer an. Kosten: 500 Khaldunitsplitter|Crée un nuage de peur : les unités ennemies dans la zone perdent du moral et attaquent moins vite. Coût : 500 éclats de khaldunite
Curse friendly units with selfconsuming hunger for flesh, greatly increasing their speed and attack rate, but causing slow selfconsuming damage to them. Cost: 500 khaldunite shards|Verflucht verbündete Einheiten mit unstillbarem Fleischhunger. Ihre Bewegungs- und Angriffsgeschwindigkeit steigt stark, doch sie erleiden fortlaufend Schaden. Kosten: 500 Khaldunitsplitter|Maudit les unités alliées d'une faim de chair insatiable. Leur vitesse de déplacement et d'attaque augmente fortement, mais elles subissent des dégâts continus. Coût : 500 éclats de khaldunite
Curse your units with vampyrism, healing them with each melee attack, increasing their speed and attack rate at expense of their own health and defence. Cost: 500 khaldunite shards|Verflucht eure Einheiten mit Vampirismus: Jeder Nahkampfangriff heilt sie. Ihre Bewegungs- und Angriffsgeschwindigkeit steigt auf Kosten von Gesundheit und Verteidigung. Kosten: 500 Khaldunitsplitter|Maudit vos unités de vampirisme : chaque attaque au corps à corps les soigne. Leur vitesse de déplacement et d'attaque augmente au détriment de leur santé et de leur défense. Coût : 500 éclats de khaldunite
Friendly companies in area are in supplied state for given time, replenishing fallen units and healing surviving ones. Cost: 500 khaldunite shards|Versorgt verbündete Kompanien im Gebiet für eine bestimmte Zeit, ersetzt gefallene Einheiten und heilt Überlebende. Kosten: 500 Khaldunitsplitter|Ravitaille temporairement les compagnies alliées dans la zone, remplaçant les unités tombées et soignant les survivants. Coût : 500 éclats de khaldunite
Imbues walls and structures, making them more resistant to melee, ranged and siege damage. Cost: 500 khaldunite shards|Verstärkt Mauern und Gebäude und erhöht ihren Widerstand gegen Nahkampf-, Fernkampf- und Belagerungsschaden. Kosten: 500 Khaldunitsplitter|Renforce les murs et les bâtiments, augmentant leur résistance aux dégâts de mêlée, à distance et de siège. Coût : 500 éclats de khaldunite
Reveal whole minimap to player for short duration of time. Cost: 400 khaldunite shards|Deckt für kurze Zeit die gesamte Minikarte auf. Kosten: 400 Khaldunitsplitter|Révèle toute la mini-carte au joueur pendant une courte durée. Coût : 400 éclats de khaldunite
Steals gold from targeted enemy settlement or building. Cost: 600 khaldunite shards|Stiehlt Gold aus der ausgewählten feindlichen Siedlung oder dem Gebäude. Kosten: 600 Khaldunitsplitter|Vole de l'or dans la colonie ou le bâtiment ennemi ciblé. Coût : 600 éclats de khaldunite
Strenghten friendly companies with sense of righteousness increasing their melee damage, defense and speed. Cost: 500 khaldunite shards|Erfüllt verbündete Kompanien mit Rechtschaffenheit und erhöht ihren Nahkampfschaden, ihre Verteidigung und ihre Geschwindigkeit. Kosten: 500 Khaldunitsplitter|Inspire la vertu aux compagnies alliées, augmentant leurs dégâts de mêlée, leur défense et leur vitesse. Coût : 500 éclats de khaldunite
Summons Crimson Comet out of sky to damage and engulf enemy units in fire. Cost: 700 khaldunite shards|Ruft einen Purpurkometen vom Himmel, der feindlichen Einheiten Schaden zufügt und sie in Flammen hüllt. Kosten: 700 Khaldunitsplitter|Fait tomber du ciel une comète cramoisie qui blesse les unités ennemies et les enveloppe de flammes. Coût : 700 éclats de khaldunite
Summons fort cloud of dark magic to sap life essence of enemy units in area weakening their attack and reducing their health. Cost: 500 khaldunite shards|Beschwört eine Wolke dunkler Magie, die feindlichen Einheiten im Gebiet Lebenskraft entzieht, ihre Angriffe schwächt und ihre Gesundheit verringert. Kosten: 500 Khaldunitsplitter|Invoque un nuage de magie noire qui draine l'essence vitale des unités ennemies dans la zone, affaiblissant leurs attaques et réduisant leur santé. Coût : 500 éclats de khaldunite
Summons forth spirit of Lion to invigorate friendly units in area, increasing their defense, speed and replenishing portion of their morale. Cost: 500 khaldunite shards|Ruft den Geist des Löwen, um verbündete Einheiten im Gebiet zu stärken. Er erhöht ihre Verteidigung und Geschwindigkeit und stellt einen Teil ihrer Moral wieder her. Kosten: 500 Khaldunitsplitter|Invoque l'esprit du Lion pour fortifier les unités alliées dans la zone. Il augmente leur défense et leur vitesse et restaure une partie de leur moral. Coût : 500 éclats de khaldunite
Summons forth swarm of spiders and scorpions to feast upon your enemies. Cost: 700 khaldunite shards|Beschwört einen Schwarm Spinnen und Skorpione, der eure Feinde verschlingt. Kosten: 700 Khaldunitsplitter|Invoque une nuée d'araignées et de scorpions pour dévorer vos ennemis. Coût : 700 éclats de khaldunite
Summons Glacial comet out of sky to damage and freeze enemy units. Cost: 700 khaldunite shards|Ruft einen Eiskometen vom Himmel, der feindlichen Einheiten Schaden zufügt und sie einfriert. Kosten: 700 Khaldunitsplitter|Fait tomber du ciel une comète glaciale qui blesse et gèle les unités ennemies. Coût : 700 éclats de khaldunite
Summons magical winds that heals units over time and increasing their resupply rate if they are in supply zone. Cost: 500 khaldunite shards|Beschwört magische Winde, die Einheiten nach und nach heilen und in Versorgungsgebieten ihre Verluste schneller ersetzen. Kosten: 500 Khaldunitsplitter|Invoque des vents magiques qui soignent progressivement les unités et accélèrent leur remplacement dans les zones de ravitaillement. Coût : 500 éclats de khaldunite
Tap into energy flowing trough Khaldun to invigorate friendly unit in area with essence of Kohan greatly improving their abilities. Cost: 500 khaldunite shards|Lenkt die Energie Khalduns in verbündete Einheiten im Gebiet und erfüllt sie mit der Essenz der Kohan, um ihre Fähigkeiten stark zu verbessern. Kosten: 500 Khaldunitsplitter|Canalise l'énergie de Khaldun dans les unités alliées de la zone et leur insuffle l'essence des Kohan, améliorant fortement leurs capacités. Coût : 500 éclats de khaldunite
Tears space in reality between Khaldun and realm of Shadows summoning forth The Gate thats spew out elite Shadow units and constantly summoning Shadelings if enemies are present in area. Exploding violently when Gate is consumed back to its dimension. Cost: 700 khaldunite shards|Zerreißt den Raum zwischen Khaldun und dem Schattenreich und beschwört ein Tor. Eliteeinheiten der Schatten treten daraus hervor. Solange Feinde in der Nähe sind, erscheinen fortlaufend Schattenlinge. Bei seiner Rückkehr in die eigene Dimension explodiert das Tor heftig. Kosten: 700 Khaldunitsplitter|Déchire l'espace entre Khaldun et le royaume des Ombres pour invoquer une Porte. Des unités d'élite des Ombres en surgissent, et des rejetons des ombres apparaissent continuellement tant que des ennemis sont proches. La Porte explose violemment en retournant dans sa dimension. Coût : 700 éclats de khaldunite
