Independent Holdings|Unabhängige Besitzungen|Domaines indépendants
Eye of Predator|Raubtierauge|Œil du prédateur
Eye Shot|Augenschuss|Tir de l'œil
Fallen Lightning|Blitz des Gefallenen|Éclair du Déchu
Fallen One|Gefallener|Déchu
Fallen|Gefallene|Déchus
Falling Stars|Fallende Sterne|Chute d'étoiles
Fanatic|Fanatiker|Fanatique
Fast|Schnell|Rapide
Fear|Furcht|Peur
Fear Skull|Schädel der Furcht|Crâne de la peur
Feasting Mist|Zehrender Nebel|Brume dévorante
Feral Wyvern|Wilder Lindwurm|Vouivre sauvage
Feral wyverns|Wilde Lindwürmer|Vouivres sauvages
Field Catapult|Feldkatapult|Catapulte de campagne
Field Provisions|Feldversorgung|Provisions de campagne
Fiend Enwoy|Gesandter der Dämonen|Émissaire démoniaque
Fiery mark|Feuriges Zeichen|Marque ardente
Fiery Shards|Feurige Splitter|Éclats ardents
Fingers of Crimson Hand|Finger der Purpurhand|Doigts de la Main cramoisie
Fire Armor|Feuerrüstung|Armure de feu
Fire Dragon|Feuerdrache|Dragon de feu
Fire Protection|Feuerschutz|Protection contre le feu
Fire Shock|Feuerschock|Choc de feu
Fissure|Erdspalte|Fissure
Fissures|Erdspalten|Fissures
Fist Blade|Faustklinge|Lame de poing
Flame Body Burn|Brennender Flammenkörper|Corps de flammes embrasé
Flame Shock|Flammenschock|Choc de flammes
Flame Sweep|Flammenfeger|Balayage de flammes
Flames of Furnace|Flammen des Schmelzofens|Flammes du fourneau
Flank|Flanke|Flanc
Flyer Unit|Fliegende Einheit|Unité volante
Forced Tint Dark|Erzwungene dunkle Färbung|Teinte sombre forcée
Forced Tint Red|Erzwungene rote Färbung|Teinte rouge forcée
Forcefield|Kraftfeld|Champ de force
Forcewave|Kraftwelle|Onde de force
Forked Bolt|Gabelbolzen|Carreau fourchu
Forked Javelin|Gabelwurfspieß|Javelot fourchu
Forked Lightning|Gabelblitz|Éclair fourchu
Forked Spear|Gabelspeer|Lance fourchue
Forked Tongue|Gespaltene Zunge|Langue fourchue
Foul Miasma|Übles Miasma|Miasme fétide
Foundation Spot|Bauplatz|Emplacement de construction
Foundation Camp|Baulager|Camp de construction
Frostland|Frostland|Terre gelée
Frozen Mist|Gefrorener Nebel|Brume glacée
Garden of Gifts|Garten der Gaben|Jardin des dons
Gate|Tor|Porte
Gathering of Dark|Versammlung der Dunkelheit|Assemblée des ténèbres
Gathering of Light|Versammlung des Lichts|Assemblée de la lumière
Mining Post|Bergbauposten|Poste minier
Mining Town|Bergbaustadt|Ville minière
Stonehold|Steinburg|Fort de pierre
Ghostly Apparation|Geistererscheinung|Apparition spectrale
Ghostly Mist|Geisternebel|Brume spectrale
Glacial Arrow|Eispfeil|Flèche glaciale
Glacial Bow|Eisbogen|Arc glacial
Glacial Comet|Eiskomet|Comète glaciale
Glacial|Eis|Glace
Glacial Jotun|Eisjotun|Jotun des glaces
Glacial Sword|Eisschwert|Épée glaciale
Global Power|Globale Macht|Pouvoir global
Gloomy Swamp|Düsterer Sumpf|Marais lugubre
Gnarled Staff|Knorriger Stab|Bâton noueux
Godendag|Goedendag|Goedendag
Gold Catalyst|Goldkatalysator|Catalyseur d'or
Golden Hoard|Goldhort|Trésor d'or
Golden Oak|Goldene Eiche|Chêne d'or
Gold Mine|Goldmine|Mine d'or
Iron Mine|Eisenmine|Mine de fer
Grim Necromancy|Düstere Nekromantie|Nécromancie sinistre
Grim Reaper|Sensenmann|Faucheuse
Grim Spiderling Swarm|Düsterer Jungspinnenschwarm|Essaim de sombres araignées
Grimfang|Grimmzahn|Croc sinistre
Grimfangs|Grimmzähne|Crocs sinistres
Guardian caretaker|Wächterhüter|Gardien protecteur
Hail of Arrows|Pfeilhagel|Grêle de flèches
Hall of Honor|Halle der Ehre|Hall de l'honneur
Hatchling Poisoned Spit|Giftspucke des Jungtiers|Crachat venimeux du nouveau-né
Headhunter|Kopfjäger|Chasseur de têtes
Healing Aura|Heilende Aura|Aura de guérison
Healing Rain|Heilender Regen|Pluie de guérison
Heavy Combat Formation|Schwere Kampfformation|Formation de combat lourde
Holder of Gifting Branch|Träger des Gabenzweigs|Porteur de la branche des dons
Holder of Gifting Leafs|Träger der Gabenblätter|Porteur des feuilles des dons
Holder of Golden Branch|Träger des goldenen Zweigs|Porteur de la branche d'or
Holy Attacks|Heilige Angriffe|Attaques sacrées
Holy Damage|Heiliger Schaden|Dégâts sacrés
Holy Resistant|Widerstand gegen heiligen Schaden|Résistance aux dégâts sacrés
Horrify|Entsetzen|Horrifier
Horse Archer|Berittener Bogenschütze|Archer monté
Hungering Scythe|Hungrige Sense|Faux affamée
Hungry Souls|Hungrige Seelen|Âmes affamées
Hunter Nest|Jägernest|Nid du chasseur
Huntress|Jägerin|Chasseresse
Huntress Mauler|Jagdreißer|Déchiqueteur de la chasseresse
Hurl Rocks|Felsen schleudern|Projeter des rochers
Ice Armor|Eisrüstung|Armure de glace
Ice Breath|Eisatem|Souffle de glace
Ice Dragon|Eisdrache|Dragon de glace
Ice Shock|Eisschock|Choc de glace
Icebringer|Eisbringer|Porte-glace
Ifrit Fireblast|Feuerschlag des Ifrits|Déflagration de l'ifrit
Ifrit Grater Fireblast|Großer Feuerschlag des Ifrits|Déflagration majeure de l'ifrit
Illusion|Illusion|Illusion
Imbued Poleaxe|Verzauberte Stangenbeilaxt|Hache d'armes enchantée
Imp|Kobold|Diablotin
Inceneration|Einäscherung|Incinération
Infernal|Infernal|Infernal
Inquisitor Order Militant|Kriegsorden der Inquisition|Ordre militaire de l'Inquisition
Insect Swarm|Insektenschwarm|Nuée d'insectes
Invoker|Anrufer|Invocateur
Iron production|Eisenproduktion|Production de fer
Journeyman Guild|Gesellengilde|Guilde des compagnons
Kabal of Sins|Kabale der Sünden|Cabale des péchés
Keep|Festung|Fort
Fortified Keep|Befestigte Festung|Fort renforcé
Keeper of Gifting Leafs|Hüter der Gabenblätter|Gardien des feuilles des dons
Keeper of Golden Branch|Hüter des goldenen Zweigs|Gardien de la branche d'or
Keeper of Golden Leafs|Hüter der goldenen Blätter|Gardien des feuilles d'or
Khaldunite Charge|Khaldunitladung|Charge de khaldunite
Khaldunite Mace|Khaldunitstreitkolben|Masse de khaldunite
Khaldunite Resistant|Khaldunitwiderstand|Résistance à la khaldunite
Khaldunite Shards|Khaldunitsplitter|Éclats de khaldunite
Khaldunite Shards Production|Produktion von Khaldunitsplittern|Production d'éclats de khaldunite
Crafter|Handwerker|Artisan
Founder|Gründer|Fondateur
Nightbringer|Nachtbringer|Porte-nuit
Pioneer|Pionier|Pionnier
Prospector|Prospektor|Prospecteur
Settler|Siedler|Colon
Thaumaturgist|Thaumaturg|Thaumaturge
Kingdom points|Reichspunkte|Points de royaume
Kingdom points consumption|Verbrauch von Reichspunkten|Consommation de points de royaume
Kingdom points production|Erzeugung von Reichspunkten|Production de points de royaume
Kingdom points provided|Verfügbare Reichspunkte|Points de royaume disponibles
Kingdom Laborers company|Reichsarbeiterkompanie|Compagnie d'ouvriers du royaume
Kohan Legend|Kohan-Legende|Légende kohan
Labor Camp|Arbeitslager|Camp de travail
Labor Camp Gold Boulders|Goldfelsen des Arbeitslagers|Rochers aurifères du camp de travail
Labor Camp Iron Boulders|Eisenfelsen des Arbeitslagers|Rochers ferreux du camp de travail
Labor Camp Ironwood Tree|Eisenholzbaum des Arbeitslagers|Arbre de bois de fer du camp de travail
Labor Camp Mana Mine|Manamine des Arbeitslagers|Mine de mana du camp de travail
Lairs|Unterschlüpfe|Antres
Lajatang|Lajatang|Lajatang
Lake Deadbodies|Leichen im See|Cadavres dans le lac
Lake Mist|Seenebel|Brume du lac
Lake of Decay|See des Verfalls|Lac de décomposition
Land of Dead|Land der Toten|Terre des morts
Landcracks|Erdspalten|Crevasses
Large|Groß|Grand
Large Lairs|Große Unterschlüpfe|Grands antres
Last Minions|Letzte Diener|Derniers serviteurs
Leader Founder|Anführer der Gründer|Chef des fondateurs
Leading Crafter|Meisterhandwerker|Maître artisan
Leading Forge|Meisterschmiede|Forge supérieure
Leading Settler|Siedleranführer|Chef des colons
Legendary|Legendär|Légendaire
Legion|Legion|Légion
Legion of Doom|Legion des Verderbens|Légion du destin funeste
Life Steal|Lebensraub|Vol de vie
Liliput|Liliput|Liliput
Livingsand|Lebender Sand|Sable vivant
Longbow|Langbogen|Arc long
Longshot|Weitschütze|Tireur de longue portée
Lurcher|Lauerer|Rôdeur
Macabre|Makabrer|Macabre
Mace|Streitkolben|Masse
Maelstorm|Mahlstrom|Maelström
Maelstrom|Mahlstrom|Maelström
Maelstorm Destroyer|Mahlstromzerstörer|Destructeur du maelström
Maelstrom Destroyer|Mahlstromzerstörer|Destructeur du maelström
Maelstrom Engine|Mahlstrommaschine|Machine du maelström
Maelstrom Backlash|Mahlstromrückschlag|Contrecoup du maelström
Mage Combat Formation|Magierkampfformation|Formation de combat des mages
Magic Arrow|Magischer Pfeil|Flèche magique
Magic construct|Magisches Konstrukt|Construction magique
Magic Resistant|Magieresistenz|Résistance magique
Magic Vulnerability|Magische Verwundbarkeit|Vulnérabilité magique
Maidens Embrace|Umarmung der Jungfrau|Étreinte de la vierge
Mana production|Manaproduktion|Production de mana
Marauder Camp|Plündererlager|Camp de maraudeurs
Marauder Den|Plündererversteck|Repaire des maraudeurs
Mark of Death|Mal des Todes|Marque de mort
Mark of Extinction|Mal der Auslöschung|Marque d'extinction
Mark of Kohan|Mal des Kohan|Marque du Kohan
Meadow|Wiese|Prairie
Meadow High Grass|Wiese mit hohem Gras|Prairie aux hautes herbes
Meat Golem|Fleischgolem|Golem de chair
Medium|Mittel|Moyen
Melee Combat Formation|Nahkampfformation|Formation de combat au corps à corps
Mercenary Barracks|Söldnerkaserne|Caserne des mercenaires
Merchant Guild Post|Handelsgildenposten|Comptoir de la guilde marchande
Militia Barracks|Milizkaserne|Caserne de la milice
Mist Cloud High|Hohe Nebelwolke|Nuage de brume élevé
Mist Cloud Low|Tiefe Nebelwolke|Nuage de brume bas
Mist of Dawn|Morgennebel|Brume de l'aube
Mist Swamp|Nebelmoor|Marais brumeux
Mistress of Death|Herrin des Todes|Maîtresse de la mort
Molten Rock|Geschmolzenes Gestein|Roche en fusion
Momentum Mori|Memento mori|Memento mori
Mounted Combat Formation|Berittene Kampfformation|Formation de combat montée
Mushrooms|Pilze|Champignons
Mystic Barrier|Mystische Barriere|Barrière mystique
Mystic Lodge|Mystische Hütte|Loge mystique
Nation Guard|Volksgarde|Garde du peuple
Nature Spirit|Naturgeist|Esprit de la nature
Night Lurkerer|Nachtlauerer|Rôdeur nocturne
Night Lurkerers|Nachtlauerer|Rôdeurs nocturnes
Night Shade|Nachtschatten|Ombre nocturne
Nightclaw Disciple|Nachtklauenjünger|Disciple de la griffe nocturne
Nightclaw|Nachtklaue|Griffe nocturne
Nightmare|Nachtmahr|Cauchemar
Oracle|Orakel|Oracle
Pain|Schmerz|Douleur
Palace Guard|Palastwache|Garde du palais
Panar Sphere Bubble|Blase der planaren Sphäre|Bulle de la sphère planaire
Patriotism|Patriotismus|Patriotisme
Pedang|Pedang|Pedang
Pellet|Schrotkugel|Bille de mitraille
Pellets|Schrotkugeln|Mitraille
Pick|Spitzhacke|Pioche
Pickblade|Spitzklinge|Lame-pioche
Pilgrims of Gifts Company|Kompanie der Gabenpilger|Compagnie des pèlerins des dons
Pilliger|Plünderer|Pillard
Pincer Claws|Scherenklauen|Pinces griffues
Plague Catapult|Seuchenkatapult|Catapulte de peste
Plague Cloud|Seuchenwolke|Nuage de peste
Plague Rock|Seuchengeschoss|Projectile pestilentiel
Plague Sphere|Seuchensphäre|Sphère de peste
Plains Guard Camp|Lager der Ebenenwache|Camp de la garde des plaines
Planar Blade|Planarklinge|Lame planaire
Planar Guard|Planarwächter|Garde planaire
Planar Guardians|Planarwächter|Gardiens planaires
Planar Guards|Planarwächter|Gardes planaires
Planar Sphere|Planarsphäre|Sphère planaire
Planar Spheres|Planarsphären|Sphères planaires
Planar Spirit|Planargeist|Esprit planaire
Planarwing|Planarschwinge|Aile planaire
Plants Creepy|Unheimliche Pflanzen|Plantes inquiétantes
Plants Dead|Tote Pflanzen|Plantes mortes
Plants Marsh|Sumpfpflanzen|Plantes des marais
Points used for building Kingdom structures|Punkte zum Errichten von Reichsgebäuden|Points utilisés pour construire des bâtiments de royaume
Potions of Vigor|Tränke der Lebenskraft|Potions de vigueur
Primal Wyvern|Urlindwurm|Vouivre primordiale
provides mobile supply zone in field|Erzeugt eine mobile Versorgungszone im Feld.|Fournit une zone de ravitaillement mobile sur le terrain.
Punisher|Bestrafer|Châtieur
Quartermaster|Quartiermeister|Intendant
Radar Sweep|Radarabtastung|Balayage radar
Rainbringer Post|Regenbringerposten|Poste du porte-pluie
Rally|Sammeln|Ralliement
Random Arcane Tech Structure|Zufälliges arkanes Technologiegebäude|Bâtiment technologique arcanique aléatoire
Arctic Large Lair|Großer arktischer Unterschlupf|Grand antre arctique
Cursed Flock|Verfluchter Schwarm|Nuée maudite
Cursed Lair|Verfluchter Unterschlupf|Antre maudit
Cursed Large Lair|Großer verfluchter Unterschlupf|Grand antre maudit
Cursed Tech|Verfluchte Technologie|Technologie maudite
Desert Large Lair|Großer Wüstenunterschlupf|Grand antre désertique
Temperate Large Lair|Großer Unterschlupf der gemäßigten Zone|Grand antre de région tempérée
Ranged Captain|Fernkampfhauptmann|Capitaine à distance
Ranged Combat Formation|Fernkampfformation|Formation de combat à distance
Ranged Skirmish Formation|Fernkampfplänklerformation|Formation de tirailleurs
Raven|Rabe|Corbeau
Regeneration|Regeneration|Régénération
Reinforce|Verstärken|Renforcer
Resource Graveyard|Rohstofffriedhof|Cimetière de ressources
Resupply|Nachschub|Ravitaillement
Rhaksha Burrows|Rhaksha-Bauten|Terriers rhaksha
Chosen|Auserwählter|Élu
Encampment|Lager|Campement
Huntmaster|Jagdmeister|Maître de chasse
Overlord|Oberherr|Seigneur suprême
Shadowcaster|Schattenwirker|Lanceur d'ombres
Slave|Sklave|Esclave
Slaves|Sklaven|Esclaves
Righteous Advance|Rechtschaffener Vormarsch|Avancée vertueuse
Rocks|Felsen|Rochers
Rocks Dark|Dunkle Felsen|Rochers sombres
Rocky Ground|Felsiger Boden|Sol rocheux
Rocky Terrain|Felsiges Gelände|Terrain rocheux
Royal Behemoth|Königlicher Behemoth|Béhémoth royal
Royal Court Hunter|Jäger des Königshofs|Chasseur de la cour royale
Royal Hunter|Königlicher Jäger|Chasseur royal
Royalist Noble|Royalistischer Adliger|Noble royaliste
Runner|Läufer|Coureur
Sabre|Säbel|Sabre
Sacred Tree|Heiliger Baum|Arbre sacré
Sagaris|Sagaris|Sagaris
Sakarr's Disciple|Sakarrs Jünger|Disciple de Sakarr
Sakarr's Voice|Sakarrs Stimme|Voix de Sakarr
Sakkars|Sakarr|Sakarr
Sakkars Wrath Spell|Zauber von Sakarrs Zorn|Sort du courroux de Sakarr
Schola Arcana|Schola Arcana|Schola Arcana
Schola Maleficia|Schola Maleficia|Schola Maleficia
Sandbagging|Sandsackbefestigung|Fortification de sacs de sable
Sanguine Pool|Blutlache|Bassin de sang
Sapper|Pionier|Sapeur
Searing Fire Armor|Sengende Feuerrüstung|Armure de feu ardente
Searing Flames|Sengende Flammen|Flammes ardentes
Searing Ifrit|Sengender Ifrit|Ifrit ardent
Searing Ifrit Fireblast|Feuerschlag des sengenden Ifrits|Déflagration de l'ifrit ardent
Searing Ifrit Greater Fireblast|Großer Feuerschlag des sengenden Ifrits|Déflagration majeure de l'ifrit ardent
Searing Shields of Flame|Sengende Flammenschilde|Boucliers de flammes ardentes
Searing Staff|Sengender Stab|Bâton ardent
Seeker|Sucher|Chercheur
Segmented Rock|Zerklüfteter Fels|Roche fissurée
Segmented Rocks|Zerklüftete Felsen|Roches fissurées
Sentry Tower|Wachturm|Tour de guet
Sentry Tower Enplacement|Wachturmstellung|Emplacement de tour de guet
Serpent Staff|Schlangenstab|Bâton du serpent
Set up Liliput|Liliput aufstellen|Déployer Liliput
Set up Sentry Tower|Wachturm aufstellen|Déployer une tour de guet
Shackles|Fesseln|Entraves
Shadeling|Schattenling|Ombre mineure
Shadow Barrier|Schattenbarriere|Barrière d'ombre
Shadow Beign|Schattenwesen|Être d'ombre
Shadow Blast|Schattenschlag|Déflagration d'ombre
Shadow Blessing|Schattensegen|Bénédiction de l'ombre
Shadow Bolt|Schattengeschoss|Trait d'ombre
Shadow Flames|Schattenflammen|Flammes d'ombre
Shadow Gate|Schattentor|Porte d'ombre
Shadow Priest|Schattenpriester|Prêtre de l'ombre
Shadow Prophet|Schattenprophet|Prophète de l'ombre
Shadow Ring|Schattenring|Anneau d'ombre
Shadow Sepulcher|Schattengruft|Sépulcre de l'ombre
Shadow Slavery Ground|Sklavenplatz der Schatten|Enclos d'esclaves des ombres
Shadow Sovereign Settlement|Herrschersiedlung der Schatten|Colonie souveraine des ombres
Shadow Stone Swirl|Wirbelnder Schattenstein|Tourbillon de pierre d'ombre
Shadow Temptress|Schattenverführerin|Tentatrice de l'ombre
Shadow Touch|Schattenberührung|Toucher de l'ombre
Shadow Tower|Schattenturm|Tour d'ombre
Shadow Volley|Schattensalve|Salve d'ombre
Shadowblast|Schattenschlag|Déflagration d'ombre
Shadowcall|Schattenruf|Appel de l'ombre
Shadowcater Nide|Schattenwirkende Nide|Nide lanceuse d'ombres
Shadowfire|Schattenfeuer|Feu d'ombre
Shadowsteel|Schattenstahl|Acier d'ombre
Shaper Hut|Formerhütte|Hutte du modeleur
Sharpshooter|Scharfschütze|Tireur d'élite
Shields of Flame|Flammenschilde|Boucliers de flammes
Shock|Schock|Choc
Shooting Stars|Sternschnuppen|Étoiles filantes
Shover of Light|Lichtschauer|Pluie de lumière
Shower of Arrows|Pfeilregen|Pluie de flèches
Si'Arian|Si'Arian|Si'Arian
