EnglishPrefix	cs	uk
You can also edit what captain the company	Můžete také zvolit kapitána nové roty. Dostupní hrdinové se zobrazí v části pro kapitána. Přidejte Jonase Teramuna jako velitele této nové roty. Vlastní sestavu lze uložit tlačítkem Uložit do oblíbených. Prozatím klikněte na Nábor.	Ви також можете вибрати капітана нової роти. Доступні герої з'являються в розділі капітана. Призначте Джонаса Терамуна командиром цієї роти. Власний склад можна додати до улюблених кнопкою «Зберегти в улюблених». Зараз просто натисніть «Найняти».
You now have Jonas in command of a custom company.	Jonas nyní velí vaší vlastní rotě. Jelikož je větší, její doplnění potrvá déle. Využijme tento čas a povězme si více o zásobování.	Тепер Джонас командує вашою власною ротою. Оскільки вона більша, її поповнення триватиме довше. Скористаймося цим часом, щоб дізнатися більше про постачання.
Supply also serves to heal units	Zásobování také léčí zraněné jednotky. I padlé vojáky nahradí nové posily. Pokud v rotě přežije alespoň jediná jednotka, lze celou rotu znovu doplnit a plně uzdravit.	Постачання також лікує поранених бійців. Навіть загиблих у бою замінять свіжі підкріплення. Якщо в роті виживе хоча б одна одиниця, усю роту можна знову поповнити й повністю відновити її здоров'я.
You can attach a hero to any company in supply	Hrdinu můžete přidělit ke kterékoli zásobované rotě: vyberte ji, klikněte na Připojit a v nabídce hrdinů zvolte požadovaného hrdinu. Ten se stane novým velitelem roty. Tlačítkem Odpojit lze hrdinu z roty také uvolnit.	Героя можна приєднати до будь-якої роти в зоні постачання: виберіть її, натисніть «Приєднати» й виберіть потрібного героя в меню. Він стане новим командиром роти. Кнопкою «Від'єднати» героя можна також забрати з роти.
Now that recruitment is out of the way,	Nábor už znáte, a tak přejdeme k boji. Před vámi jsou dvě roty: jedna vaše a druhá nepřátelská. Vyberte svou rotu, stiskněte Útok a klikněte na nepřátelskou rotu nebo do její blízkosti. Vaše rota se přiblíží a automaticky zahájí boj. Každá jednotka bude bojovat samostatně podle svých schopností.	З найманням ми розібралися, тож перейдемо до бою. Перед вами дві роти: ваша та ворожа. Виберіть свою роту, натисніть «Атакувати» й клацніть на ворожій роті або поруч із нею. Ваша рота наблизиться й автоматично вступить у бій. Кожен боєць діятиме самостійно відповідно до своїх здібностей.
Here are two more companies.	Zde jsou další dvě roty. Tentokrát vaše rota nemá dost síly, aby nepřítele porazila. Aby nebyla zničena, klikněte na tlačítko Běh a určete bezpečné místo k ústupu. Vhodným cílem je například zásobovací oblast vašeho města.	Ось іще дві роти. Цього разу ваша рота недостатньо сильна, щоб перемогти ворога. Щоб урятувати її від знищення, натисніть «Біг» і виберіть безпечне місце для відступу. Підійде, наприклад, зона постачання вашого міста.
Combatants will chase each other	Bojující jednotky nepřítele krátce pronásledují, než útok vzdají. Pokud ustoupíte příliš blízko, nepřítel vaši rotu znovu napadne a boj bude pokračovat.	Бійці переслідуватимуть супротивника на невелику відстань, перш ніж припинять атаку. Якщо відступити недостатньо далеко, ворог знову нападе на вашу роту, і бій продовжиться.
Now that you know how to start a fight	Už umíte zahájit boj i ustoupit, a tak před vámi stojí první cíl k dobytí. Toto je technologické doupě. Po obsazení poskytuje vašemu království technologii, dokud zůstává pod vaší kontrolou. Zaútočte na ně svými rotami a obsaďte je.	Тепер ви вмієте починати бій і відступати. Перед вами перша ціль для захоплення — технологічне лігво. Після захоплення воно надає вашому королівству технологію доти, доки залишається під вашим контролем. Атакуйте його своїми ротами й захопіть.
The Drauga clan that has been warring with Council	Klan Drauga, který válčí s Radou, sídlí ve městě severně od města Rady. Chcete-li konflikt ukončit, musíte toto město dobýt. Pokuste se je obsadit rotami, které stojí před vámi.	Клан драуґів, що воює з Радою, розташувався в містечку на північ від міста Ради. Щоб покласти край конфлікту, потрібно його захопити. Спробуйте зробити це ротами, які стоять перед вами.
As you can see, two of your companies	Jak vidíte, dvě vaše roty se od té třetí výrazně liší. Každá obsahuje jedinou velkou jednotku. Jsou to obléhací roty, v tomto případě katapulty. Hradbám a budovám způsobují zvýšené poškození, ale proti nepřátelským rotám bývají slabé. Vyberte roty a přikažte jim zaútočit na centrum města.	Як бачите, дві ваші роти помітно відрізняються від третьої. Кожна має лише одну велику одиницю. Це облогові роти — у цьому випадку катапульти. Вони завдають підвищеної шкоди мурам і будівлям, але зазвичай слабкі проти ворожих рот. Виберіть роти й накажіть їм атакувати центр міста.
The companies should now be attacking the town.	Roty nyní útočí na město. Automaticky se pokusí zničit část hradeb, aby se dostaly k jeho centru. Po prolomení hradeb zaútočí na centrum a obsadí je. Během útoku sledujte obránce: nejprve útočníky napadne lučištnická domobrana. Teprve po prolomení hradeb se objeví domobrana pro boj zblízka, která brání vnitřek osady.	Роти вже мають атакувати місто. Вони автоматично спробують зруйнувати частину мурів, щоб дістатися до центру поселення. Пробивши мури, вони атакуватимуть центр і захоплять його. Під час атаки стежте за оборонцями: спершу нападників зустріне ополчення лучників. Лише після пролому мурів з'явиться ополчення ближнього бою, щоб захищати внутрішню частину поселення.
When a company is selected,	Vybrané rotě můžete změnit formaci jedním ze tří tlačítek v rozhraní. Formace ovlivňuje rychlost pohybu a účinnost útoku. V bojové formaci rota útočí s maximální účinností, ale pohybuje se velmi pomalu. V pochodové koloně je naopak velmi rychlá, její útok je však méně účinný.	Коли роту вибрано, її стрій можна змінити однією з трьох кнопок в інтерфейсі. Стрій впливає на швидкість руху та ефективність атаки. У бойовому строю рота атакує з максимальною ефективністю, але рухається дуже повільно. У похідній колоні вона, навпаки, рухається дуже швидко, проте атакує менш ефективно.
Channak has been saved from the Undead legions	Channak byl zachráněn před nemrtvými legiemi Padlých a vzniklo spojenectví, jaké svět neviděl po celé věky. Nyní musí trojice Kohanů spěchat do boje, než do rukou Padlých padne další země.	Чаннак урятовано від легіонів немертвих Полеглих, і постало небачене протягом віків об'єднання. Тепер троє коганів мусять поспішити в бій, доки ще одна земля не впала перед Полеглими.
All the allies won in the course of the war	Všichni spojenci získaní během války proti Padlým spojili síly a porazili obrovskou hordu nemrtvých. Nyní míří na sever, aby se přidali k Dariovi a společně zničili Abaddona.	Усі союзники, здобуті під час війни проти Полеглих, об'єднали сили й розгромили величезну орду немертвих. Тепер їхній шлях лежить на північ, щоб приєднатися до Даріуса й разом знищити Абаддона.
The Ceyah encounter the fierce and savage Drauga	Ceyahové se setkávají s divokými a nelítostnými Draugy, kteří se vysmívají jejich porážce a ponížení. Draugům alespoň stále zbývá jejich bůh, velký drak Sakarr, a jejich hrdost.	Кеяхи зустрічають лютих і диких драуґів, які глузують із розбитих та принижених кеяхів. Драуґи принаймні досі мають свого бога, великого дракона Сакарра, та власну гордість.
There is no rest for those who cannot die.	Ti, kteří nemohou zemřít, nepoznají odpočinek. Temný pán Ahriman byl poražen a jeho služebníci Ceyahové rozprášeni, ale válečné bubny znějí dál. Zatím tiše, jejich hlas však sílí. Zvěsti o válce dorazily k Sofiyi Fairfaxové, regentce Istiry. Neznámé vojsko napadá pohraničí, plení města, vypaluje předsunuté základny a unáší její lid. Ostražitá regentka vyslala svou nejlepší Hledačku, aby útoky vyšetřila. Pokud za nimi skutečně stojí znovu sílící Ceyahové, jak se regentka obává, mohly by být předzvěstí nové války...	Ті, хто не може померти, не знають спочинку. Темного лорда Ахрімана переможено, а його слуг, кеяхів, розсіяно, проте барабани війни досі б'ють. Поки тихіше, та їхній голос наростає. Чутки про війну дійшли до Софії Ферфакс, регентки Істіри. Невідоме військо нападає на прикордоння, грабує міста, палить застави й забирає її людей. Пильна регентка відрядила свою найкращу Шукачку розслідувати ці напади. Адже якщо за ними справді стоять відроджені кеяхи, як вона підозрює, це може провіщати нову війну...
Will you listen now, King Kharei?	Vyslechnete nás nyní, králi Kharei? Pronásledovali jsme Ceyahy do Pustiny, kde odhalili pradávný zdroj moci. Poté z Pustiny vytáhli pod vedením strašlivého démona jménem Abaddon. Z nás lovců se stala kořist. Střetli jsme se s nimi v pohraničí a pak v samém srdci Istiry. Marně. Istira byla zlomena a mnoho našich druhů bylo posláno do Snu, nebo je potkal ještě horší osud...	Тепер ви нас вислухаєте, королю Харею? Ми переслідували кеяхів у Пустку, де вони знайшли стародавнє джерело сили. Звідти вони рушили під проводом жахливого демона на ім'я Абаддон. Ми, мисливці, самі стали здобиччю. Ми зустріли їх на прикордонні, а потім у самому серці Істіри. Марно. Істіру було зламано, а багатьох наших побратимів відправлено до Сну — або їх спіткала ще гірша доля...
