English	cs	uk
Si'Arian Sept	Sept Si'Arian	Септ Сі'Аріан
Slanrii Enclave	Enkláva Slanrii	Анклав Сланрії
Slyys'Stok	Slyys'Stok	Слис'Сток
Smoke Cloud	Oblak kouře	Хмара диму
Sta'archan	Sta'archan	Ста'арчан
Star Maiden	Hvězdná panna	Зоряна діва
Syrad Amon	Syrad Amon	Сірад Амон
Thundercloud	Bouřkový mrak	Грозова хмара
Thundercloud Empty	Prázdný bouřkový mrak	Порожня грозова хмара
Thundercloud Summon	Vyvolání bouřkového mraku	Виклик грозової хмари
Thunderstorm Cloud	Bouřkový mrak	Грозова хмара
Trow Rock	Trowův kámen	Камінь троу
Wyvern	Wyverna	Віверна
Yss'Tok	Yss'Tok	Ісс'Ток
Lancer Border Guard	Pohraniční kopiník	Улан-прикордонник
Shackles	Okovy	Кайдани
City auto-upgrade status	Stav automatického vylepšování města	Стан автоматичного поліпшення міста
Sofiya	Sofiya	Софія
Phellas	Phellas	Феллас
Shahzadeh	Shahzadeh	Шах-Заде
Dar Barrat	Dar Barrat	Дар Барат
Dar Barat	Dar Barat	Дар Барат
Jarrot	Jarrot	Джаррот
Jharrot	Jharrot	Джаррот
Barrens	Pustiny	Пустки
Midlands	Středozemí	Серединні землі
Sample Lair	Ukázkové doupě	Приклад лігва
Area Spell	Plošné kouzlo	Закляття по площі
Enchantment Spell	Očarování	Чари
Projectile Spell	Střelecké kouzlo	Метальне закляття
Summon Spell	Vyvolávací kouzlo	Закляття виклику
Ranged Attack	Útok na dálku	Дальня атака
Repair All	Opravit vše	Відремонтувати все
Herds	Stáda	Стада
Settlement Spots	Místa pro osídlení	Місця для поселень
Lairs	Doupata	Лігва
Techs	Technologie	Технології
Native	Domorodci	Тубільці
Independents	Nezávislí	Незалежні
Neutrals	Neutrální	Нейтральні
Pass Location	Předat polohu	Передати місце
Place Box Area	Umístit obdélníkovou oblast	Розмістити прямокутну область
Place Circle Area	Umístit kruhovou oblast	Розмістити круглу область
Place Camera	Umístit kameru	Розмістити камеру
Select Faction Ability Target	Vybrat cíl schopnosti frakce	Вибрати ціль здібності фракції
Drauga Music	Hudba rasy Drauga	Музика драуга
Undead Music	Hudba nemrtvých	Музика нежиті
Shadow Music	Hudba stínů	Музика тіней
Visual Dvorak	Rozložení Dvorak	Розкладка Дворак
Visual Left-Handed	Rozložení pro leváky	Розкладка для лівші
Tiny	Drobné	Крихітний
Great Dig	Velký důl	Велика шахта
Stone Pit	Kamenolom	Каменоломня
Logging Hut	Dřevorubecká chýše	Лісорубна хижа
Spirit Totem	Totem duchů	Тотем духів
Barter House	Směnný dům	Обмінний дім
Wood Harvest	Těžba dřeva	Заготівля деревини
Iron Export	Vývoz železa	Експорт заліза
Stone Export	Vývoz kamene	Експорт каменю
Wood Export	Vývoz dřeva	Експорт деревини
Exchange	Burza	Біржа
Excavation	Kamenolom	Каменоломня
Gathering	Shromaždiště	Збір воїнів
Grove of Dusk	Soumračný háj	Сутінковий гай
Glade of Dawn	Mýtina úsvitu	Світанкова галявина
Trade Fair	Obchodní jarmark	Торговий ярмарок
Gift of Stone	Dar kamene	Дар каменю
Bounty of Wood	Hojnost dřeva	Щедрість деревини
Spiritwood	Duchovní dřevo	Дерево духів
Gift of Wood	Dar dřeva	Дар деревини
Blacksmith	Kovárna	Кузня
Foundry	Slévárna	Ливарня
Iron Market	Trh se železem	Ринок заліза
Quarry	Kamenolom	Каменоломня
Stone Market	Trh s kamenem	Ринок каменю
Wood Market	Trh se dřevem	Ринок деревини
Furnace	Pec	Топка
Forge	Výheň	Горн
Dread Forge	Výheň hrůzy	Горн жаху
Mana Forge	Manová výheň	Горн мани
Mana Focus	Ohnisko many	Осередок мани
Mana Siphon	Sifon many	Джерело мани
Hoard	Zásobárna	Комора
Earthbore	Zemní vrt	Земляна свердловина
Earthtap	Ložisko	Родовище
Mana Crucible	Kelímek many	Тигель мани
Mana Mill	Manový mlýn	Млин мани
Boneyard	Skladiště kostí	Склад кісток
Bonesmith	Kostní kovárna	Кістяна кузня
Bone Forge	Kostní výheň	Кістяний горн
Spirit Forge	Výheň duchů	Горн духів
Sepulcher	Hrobka	Склеп
Spirit Mill	Mlýn duchů	Млин духів
Nicomedes	Nicomedes	Нікомед
Zahra	Zahra	Зара
Ilyana	Ilyana	Ільяна
Sijansur	Sijansur	Сійянсур
Worker	Dělník	Робітник
Building Destruction	Zničení budovy	Руйнування будівлі
Human	Lidé	Люди
Shadow	Stíny	Тіні
Settler	Osadník	Поселенець
Engineer	Inženýr	Інженер
Frenzy	Zuřivost	Шаленство
Mystic	Mystik	Містик
Sentinel	Hlídka	Вартовий
Healer	Léčitel	Цілитель
Arrow	Šíp	Стріла
Bolts	Šipky do kuše	Арбалетні болти
Spider Webs	Pavučiny	Павутиння
Crafter	Řemeslník	Ремісник
Elder	Stařešina	Старійшина
Warlord	Vojevůdce	Полководець
Anvil	Kovadlina	Ковадло
Baluch	Baluch	Балух
Founder	Palice	Кувалда
Juggernaut	Juggernaut	Джаггернаут
Spear	Kopí	Спис
Guide	Průvodce	Провідник
Hillstrider	Chodec vrchů	Древоїт
Mistrunner	Běžec mlhy	Бігун туману
Moonwatcher	Strážce měsíce	Місячний вартовий
Cleric	Klerik	Клірик
Dragoon	Dragoun	Драгун
Ox	Vůl	Бик
Beast	Bestie	Потвора
Brute	Brutál	Шатун
Fiend	Démon	Демон
Shade	Běs	Біс
Shadeling	Malý běs	Бісеня
Warlock	Černokněžník	Чорнокнижник
Reaper	Žnec	Жнець
Revenant	Revenant	Ревенант
Divsha	Divsha	Дівша
Praxus	Praxus	Праксус
Vulgari	Vulgari	Вулгарі
Daevai	Daevai	Діваї
Construct	Konstrukt	Конструкт
Encampment	Tábořiště	Табір
Wildwood	Lesní houština	Лісова хаща
Harvester	Dřevobijec	Древоїн
Defiler	Poskvrňovatel	Осквернитель
Diabolist	Démonolog	Демонолог
Opening Volley	Úvodní salva	Початковий залп
Lich	Lich	Ліч
Stonewalker	Kamenný chodec	Кам'яний ходок
Windrider	Jezdec větru	Вершник вітру
Bowman	Lučištník	Лучник
Pikeman	Halapartník	Алебардник
Warden	Strážce	Страж
Fury	Gargoyla	Гаргулья
Raast Mothul	Raast Mothul	Рааст Мотул
Raast Rukhan	Raast Rukhan	Рааст Рухан
Calamein	Calamein	Каламін
Sulleston	Sulleston	Саллестон
Kulin's Vale	Kulinovo údolí	Долина Куліна
Jhadan	Jhadan	Джадан
Riyhadha	Riyhadha	Рійяда
Whiterock Fort	Pevnost Bílé skály	Форт Білої Скелі
Berserk	Zuřivost	Берсерк
Harad	Harad	Харад
Motag Dan	Motag Dan	Мотаг Дан
Drycreek	Suché koryto	Сухе Русло
Ullerston	Ullerston	Аллерстон
Rhusk	Rhusk	Раск
Dun Ilrag	Dun Ilrag	Дун Ілраг
Bald Mountain 01	Lysá hora 01	Лиса гора 01
Bald Mountain 02	Lysá hora 02	Лиса гора 02
Bald Mountain 03	Lysá hora 03	Лиса гора 03
Ally	Spojenec	Союзник
Self	Vlastní	Власний
Difficulty	Obtížnost	Складність
Bombard	Ostřelovat	Обстрілювати
Host	Hostitel	Ведучий
Provides	Poskytuje	Забезпечує
Recruits	Nábor	Наймає
Upgrades	Vylepšení na	Поліпшується до
Upkeep	Údržba	Утримання
Vorpal	Smrtící	Смертоносний
Out Of Supply	Bez zásobování	Без постачання
Enemy kingdoms will try to destroy your kingdom.	Nepřátelská království se pokusí zničit vaše království.	Ворожі королівства намагатимуться знищити ваше королівство.
Cannot recruit while under siege.	Během obléhání nelze verbovat jednotky.	Під час облоги неможливо наймати юнітів.
Empty Production Queue Slot	Prázdná pozice ve výrobní frontě	Порожня комірка черги виробництва
While pressed, enables free camera rotation	Při podržení umožňuje volné otáčení kamery	Доки натиснуто, дозволяє вільно обертати камеру
Open buddy authorization dialog	Otevřít potvrzení žádosti o přátelství	Відкрити підтвердження запиту дружби
Open objectives panel	Otevřít panel úkolů	Відкрити панель завдань
